trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.5, 'e': 0.9868356085604991}",25,0,-161.12104639469834,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
157,False,"{'a': 0.5, 'e': 0.9866655772291907}",20,0,-87.16635161755381,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.9864944622392313}",20,0,-188.96400293687506,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
159,False,"{'a': 0.5, 'e': 0.9863222637785573}",20,0,-99.98229373152328,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
160,False,"{'a': 0.5, 'e': 0.9861489820362948}",20,0,-89.1379320844713,"{0: 7, 1: 6, 2: 7, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.9859746172027598}",20,0,-176.96616789524253,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
162,False,"{'a': 0.5, 'e': 0.985799169469458}",20,0,-158.08072083600456,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
163,False,"{'a': 0.5, 'e': 0.9856226390290843}",20,0,-139.26273981269978,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.9854450260755226}",25,0,-55.471159869588206,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.9852663308038462}",25,0,-69.51142307247123,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.9850865534103166}",20,9,-12.713993632732311,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.984905694092384}",20,0,-140.7917274422703,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.9847237530486871}",35,0,-154.49622638214578,"{0: 22, 1: 1, 2: 8, 3: 3, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.9845407304790522}",20,0,-125.18243034349182,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.9843566265844939}",20,0,-107.67027674578144,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.9841714415672141}",20,0,-112.78013397660203,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
172,False,"{'a': 0.5, 'e': 0.9839851756306023}",20,0,-49.720926864011496,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.9837978289792351}",20,0,-165.82710342639365,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
174,False,"{'a': 0.5, 'e': 0.9836094018188759}",20,0,-56.75610416953559,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.9834198943564753}",20,0,-56.18280833619592,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.9832293068001697}",20,0,-148.66719874095668,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
177,False,"{'a': 0.5, 'e': 0.9830376393592826}",20,0,-118.0874583557129,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.9828448922443227}",20,0,-85.47588512592706,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.9826510656669851}",20,0,-126.99530599324487,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
180,False,"{'a': 0.5, 'e': 0.9824561598401502}",25,0,-114.21262870978732,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
181,False,"{'a': 0.5, 'e': 0.982260174977884}",20,0,-125.07050743256696,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
